Band Value,afterFiltered Count
-46.75,2
-46.5,1
-46.25,
-46,
-45.75,1
-45.5,1
-45.25,
-45,1
-44.75,2
-44.5,1
-44.25,2
-44,3
-43.75,3
-43.5,3
-43.25,4.125
-43,5.125
-42.75,8
-42.5,13
-42.25,9
-42,13
-41.75,9
-41.5,28.125
-41.25,29
-41,27
-40.75,42
-40.5,45
-40.25,50
-40,52.953
-39.75,88.729
-39.5,100.996
-39.25,125
-39,138
-38.75,177.09
-38.5,218.98
-38.25,236.235
-38,296.643
-37.75,398.98
-37.5,495.173
-37.25,557.063
-37,675.333
-36.75,833.29
-36.5,937.118
-36.25,"1,189.949"
-36,"1,424.549"
-35.75,"1,693.043"
-35.5,"1,940.31"
-35.25,"2,327.384"
-35,"2,807.867"
-34.75,"3,256.337"
-34.5,"3,873.114"
-34.25,"4,500.592"
-34,"5,519.753"
-33.75,"6,187.008"
-33.5,"7,400.914"
-33.25,"8,344.196"
-33,"9,901.937"
-32.75,"11,067.91"
-32.5,"12,865.333"
-32.25,"14,510.443"
-32,"16,618.231"
-31.75,"18,886.663"
-31.5,"21,324.204"
-31.25,"23,968.549"
-31,"26,786.82"
-30.75,"30,122.647"
-30.5,"33,285.765"
-30.25,"36,677.835"
-30,"40,396.627"
-29.75,"43,450.941"
-29.5,"48,008.867"
-29.25,"51,577.631"
-29,"55,585.796"
-28.75,"59,498.043"
-28.5,"64,242.902"
-28.25,"67,659.8"
-28,"71,434.345"
-27.75,"74,312.494"
-27.5,"77,764.753"
-27.25,"80,479.224"
-27,"83,031.588"
-26.75,"84,979.812"
-26.5,"86,985.224"
-26.25,"89,264.471"
-26,"90,921"
-25.75,"92,474.565"
-25.5,"94,751.737"
-25.25,"95,793.624"
-25,"97,619.663"
-24.75,"98,466.553"
-24.5,"101,468.847"
-24.25,"103,375.373"
-24,"106,473.38"
-23.75,"109,053.165"
-23.5,"112,723.314"
-23.25,"116,511.306"
-23,"120,471.008"
-22.75,"126,897.949"
-22.5,"132,678.933"
-22.25,"140,081.173"
-22,"148,673.871"
-21.75,"157,677.98"
-21.5,"169,357.494"
-21.25,"184,015.275"
-21,"198,641.188"
-20.75,"217,549.812"
-20.5,"239,029.031"
-20.25,"263,953.384"
-20,"293,925.09"
-19.75,"326,126.671"
-19.5,"365,179.004"
-19.25,"408,099.761"
-19,"457,439.686"
-18.75,"513,200.82"
-18.5,"572,701.973"
-18.25,"638,085.604"
-18,"710,462.612"
-17.75,"788,344.447"
-17.5,"872,897.404"
-17.25,"961,012.725"
-17,"1,055,318.196"
-16.75,"1,151,002.553"
-16.5,"1,250,035.016"
-16.25,"1,348,691.694"
-16,"1,447,744.502"
-15.75,"1,539,176.071"
-15.5,"1,619,801.224"
-15.25,"1,690,196.161"
-15,"1,738,177.086"
-14.75,"1,763,387.843"
-14.5,"1,766,202.886"
-14.25,"1,733,528.259"
-14,"1,674,449.231"
-13.75,"1,587,445.349"
-13.5,"1,474,540.855"
-13.25,"1,339,540.796"
-13,"1,197,167.725"
-12.75,"1,047,107.851"
-12.5,"897,405.655"
-12.25,"753,432.792"
-12,"621,001.761"
-11.75,"503,339.494"
-11.5,"401,312.714"
-11.25,"314,276.741"
-11,"241,185.69"
-10.75,"182,369.22"
-10.5,"135,759.102"
-10.25,"100,126.42"
-10,"72,680.769"
-9.75,"52,462.671"
-9.5,"37,515.063"
-9.25,"26,877.918"
-9,"19,164.122"
-8.75,"14,048.529"
-8.5,"10,139.345"
-8.25,"7,665.627"
-8,"5,784.49"
-7.75,"4,594.847"
-7.5,"3,800.122"
-7.25,"3,044.859"
-7,"2,824.557"
-6.75,"2,412.133"
-6.5,"2,003"
-6.25,"1,824.024"
-6,"1,583"
-5.75,"1,402.898"
-5.5,"1,253.549"
-5.25,"1,123.698"
-5,"1,035"
-4.75,893
-4.5,804
-4.25,751
-4,649
-3.75,578.118
-3.5,502
-3.25,445
-3,378
-2.75,357
-2.5,337
-2.25,287
-2,268
-1.75,220
-1.5,198
-1.25,190
-1,168
-0.75,139
-0.5,112
-0.25,131
0,100
0.25,102
0.5,71
0.75,71
1,61
1.25,53
1.5,48
1.75,45
2,39
2.25,36
2.5,34
2.75,27
3,25
3.25,20
3.5,20
3.75,22
4,18
4.25,19
4.5,15
4.75,11
5,11
5.25,8
5.5,14
5.75,8
6,13
6.25,12
6.5,5
6.75,11
7,7
7.25,11
7.5,9
7.75,5
8,8
8.25,5
8.5,7
8.75,6
9,5
9.25,4
9.5,2
9.75,3
10,2
10.25,3
10.5,4
10.75,2
11,3
11.25,2
11.5,2
11.75,2
12,1
12.25,4
12.5,1
12.75,1
13,
13.25,3
13.5,2
13.75,3
14,2
14.25,3
14.5,
14.75,
15,3
15.25,1
15.5,
15.75,5
16,1
